"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's Darmstadt","3.9","31","15","9","5","2","0",,,,,,,,,,,,,,,,,,,,
"Western Family Shop Werner Wolz","4.5","105","87","4","10","3","1","24","jeans","6","selection","3","range","6","saleswoman","2","owners","2","top","2","hope","2","expression",,,,
"Yeans Halle","4.5","190","128","42","7","10","3","8","friendly staff","3","brands","2","politeness","12","saleswoman","3","seeks","2","names","2","UG","3","boy","6","selection","2","checkout"
"WÖHRL","4.3","353","205","88","19","34","7","10","suits","5","good deals","4","brands","2","well-stocked","2","bargains","2","kind workers","6","selection","3","assortment","2","customer wishes","9","salesperson"
"Levi's® Siegen","4.7","43","39","0","2","1","1","4","pants","3","atmosphere","2","young","6","team","2","mobile phone",,,,,,,,,,
"Levis",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® Ludwigsburg","4","110","48","33","8","14","7","4","trousers","3","friendly staff","3","breuningerland ludwigsburg shopping mall",,,,,,,,,,,,,,
"Leos Jeans","4.4","38","32","1","5","0","0","3","trousers","9","nice saleswoman","2","not pushy","2","selection","3","style","3","honest","2","counter","2","boy","3","eye","2","perfect"
"Jeans4ALL - Fachgeschäft für Jeans & Mode in Langenfeld.","4.9","77","73","4","0","0","0","2","feel-good atmosphere","3","range","4","tops","2","ordered","2","felt","2","approx","3","eye","11","selection","2","fun",,
"Crazy Jeans Peerless GmbH","4.7","103","83","12","1","4","3","7","nice saleswoman",,,,,,,,,,,,,,,,,,
"Jeans House Ohlrogge GmbH & Co. KG","4.8","248","221","19","5","3","0","17","selection","3","discount","2","levis","14","salesperson","3","atmosphere","4","humor","4","competence","2","conversation","4","tops","3","beer"
"Jeanspassage Schreyer","4.8","184","162","17","1","3","1","10","friendly staff","9","selection","8","nice saleswoman","5","assortment","4","friendly team","2","long","4","perfect","9","top","2","size",,
"Werner Fähnrich Jeans Floor","4.9","303","275","23","2","2","1","28","pants","4","friendly salespeople","11","friendly staff","4","brand variety","16","selection","5","specialty store","2","not pushy","7","nice employees","2","in good hands","2","nice team"
"Jeanskiste","4.7","169","146","13","5","3","2","16","selection","2","levi","3","brands","3","seeks","2","only the","4","couple","3","salesperson","2","jeans","2","frustration",,
"Jeans World","4.7","37","30","5","0","1","1","3","friendly saleswoman","2","belt","2","fun",,,,,,,,,,,,,,
"Leo's Jeans","4.6","67","46","16","0","2","3","4","saleswoman","2","top",,,,,,,,,,,,,,,,
"Robert Ley Fashion Store Neuss","4.3","486","289","123","22","43","9","11","discounts","13","brands","16","friendly staff","27","selection","8","bargains","8","membership","2","relaxed shopping","3","shirt","9","salesperson","5","park"
"Klawotte - Martinsried","3.7","61","34","7","15","3","2","3","sustainability","6","donations","2","engagement","2","bag","2","team","2","staff","4","selection","3","dishes","2","money","4","clothes"
