"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Farm","4.3","153","105","21","17","9","1","2","dress exchange","11","saleswomen","2","pleasant vibe","2","gifts","2","quality clothes","3","attendants","2","humorous","3","respect","2","notice","7","clothes"
"Youcom","4.5","448","306","90","9","39","4","3","relaxed atmosphere","2","store for young people","3","cool clothes","3","quality of clothes","2","variety of products","3","helpfulness","2","young fashion","2","attendant ana","5","saleswomen","2","beautiful store"
"ANSELMI","4.5","143","103","25","8","6","1","7","knitwear","5","attentive saleswomen","2","beautiful items","2","product quality","2","arrogant","2","good taste","2","pieces","2","mark","6","clothes","2","products"
"Levi's","4.3","135","86","28","8","8","5","2","gift exchange","11","jeans","3","promotions","4","mark","7","sellers","3","present","4","clothes",,,,,,
"Levi's - Rio Sul Shopping","4.4","156","103","27","6","16","4","8","brand","3","clean store","2","unisex","2","pleasant atmosphere","8","pants","2","helpfulness","14","salespeople","3","size","2","cool store","2","501"
"Levis","4.2","52","33","9","6","3","1","6","pants","2","in-store experience","2","location","3","models","4","salespeople",,,,,,,,,,
"Levi's - Norte Shopping","4.2","36","25","2","4","4","1","2","brand","2","sale","2","officials","2","present",,,,,,,,,,,,
"Levi's","4.4","155","93","43","8","9","2","2","high quality clothes","2","good options","2","seller","7","jeans","5","brand",,,,,,,,,,
"Levi's - Shopping Nova América","4.5","276","191","52","11","18","4","2","quality jeans","3","friendly salespeople","5","quality clothing","2","organized store","2","brand quality","2","variety of products","3","pants","3","promotions","3","durability","2","attendant"
"Levi's","4.1","108","63","20","12","10","3","5","modeling","3","quality clothes","6","Minas Shopping","2","discount","4","pants","11","saleswomen","2","franchise","2","jeans","2","place to buy","3","mark"
"Levi's","5","7","7","0","0","0","0","2","jeans","2","staff",,,,,,,,,,,,,,,,
"Levi's - Vila Velha","5","6","6","0","0","0","0","2","new store","2","jeans",,,,,,,,,,,,,,,,
"Levi's - Barra Shopping","4.3","161","100","35","9","9","8","12","brand","2","quality pants","2","size","2","team","2","employees","3","store","10","salespeople","7","jeans","2","pants",,
"Reserva","4.1","179","107","31","21","18","2","2","friendly employee","3","product quality","3","beautiful store","3","discount","2","training","2","t-shirt","2","e-commerce","5","brand","4","shopping experience","2","seller"
"RENNER","4.4","9525","5881","2304","280","870","190","68","perfumes","53","variety of clothes","19","men's clothing","28","quality clothes","11","spacious store","12","organized store","18","modeling","41","promotions","8","children's clothing","26","footwear"
"Levi's - Center Shopping Uberlândia","4.2","73","52","6","10","2","3","4","attentiveness","4","pants","3","quality products","3","politeness","2","attention","13","sellers","2","attendant","4","brand",,,,
